file,label,dist_centroid,valence,arousal,familiarity,title,composer,film,year,genre,director
yolatengoillbearoundyolatengogeorgiahubleyirakaplanjamesmcnewboyhoodsample2mp3.mp3,0,2.4760481745886085,-0.73849,0.54672,familiar-feeling-not-familiar,I'll Be Around,"Yo La Tengo, Georgia Hubley, Ira Kaplan, James McNew",Boyhood,2014.0,Drama,Richard Linklater
kyleeastwoodgrantorinofeathughcoltmancrdownloadsample1mp3.mp3,0,2.514891566593115,0.30898,0.47,not-sure,Gran Torino,Kyle Eastwood/Michael Stevens/Clint Eastwood/Jamie Cullum,Gran Torino,2008.0,Drama,Clint Eastwood
theworstpersonintheworldharrynilssonisaidgoodbyetomesample2mp3.mp3,0,2.5328961398031824,0.17925,0.18125,never-heard-this,I Said Goodbye To Me,Harry Nilsson,The Worst Person In The World,2021.0,"Comedy, Drama, Romance",Joachim Trier
hopejamesnewtonhowardahiddenlifesample2mp3.mp3,0,2.5871067622029544,-0.7445,-0.375,familiar-feeling-not-familiar,Hope,James Newton Howard,A Hidden Life,2019.0,Biography Drama Romance,Terrence Malick
annakareninatoolatedariomarianellisample2mp3.mp3,0,2.6084435716198793,0.0,0.0,not-sure,Too Late,Dario Marianelli,Anna Karenina,2012.0,Drama Romance,Joe Wright
lostbutwonhanszimmerrushsample1mp3.mp3,0,2.642533405144338,0.92225,0.46625,never-heard-this,Lost but Won,Hans Zimmer,Rush,2013.0,Action Biography Drama,Ron Howard
katieslifegoodcopdogcopmarkmothersbaughthemitchellsvsthemachinessample2mp3.mp3,0,2.647772604032503,0.35453,-0.17344,familiar,Katie's Life/Good Cop Dog Cop,Mark Mothersbaugh,The Mitchells vs the Machines,2021.0,Animation Adventure Comedy,"Michael Rianda, Jeff Rowe"
leobirenbergbottomsendcreditssample2mp3.mp3,0,2.655506363666717,0.48344,-0.0175,never-heard-this,End Credits,Leo Birenberg,Bottoms,2023.0,Comedy,Emma Seligman
imwithyoutotheendstevenpricelastnightinsohosample2mp3.mp3,0,2.6561065640237795,0.19771499999999997,-0.52945,never-heard-this,I'm With You To The End,Steven Price,Last Night in Soho,2021.0,Drama Horror Mystery,Edgar Wright
hungryspiritcornelwilczekthomaserouchtalktomesample2mp3.mp3,0,2.6587783258892324,0.543445,-0.55002,familiar,Hungry Spirit,"Cornel Wilczek, Thomas E Rouch",Talk To Me,2022.0,Horror Thriller,"Danny Philippou, Michael Philippou"
katieslifegoodcopdogcopmarkmothersbaughthemitchellsvsthemachinessample1mp3.mp3,0,2.6709539961920887,0.54381,0.17481,never-heard-this,Katie's Life/Good Cop Dog Cop,Mark Mothersbaugh,The Mitchells vs the Machines,2021.0,Animation Adventure Comedy,"Michael Rianda, Jeff Rowe"
jimcrowthehelpthomasnewmansample1mp3.mp3,0,2.6825944057863778,0.81901,0.4925,familiar-feeling-not-familiar,Jim Crow,Thomas Newman,The Help,2011.0,Drama,Tate Taylor
singaporehanszimmerpiratesofthecaribbeanatworldsendsample1mp3.mp3,0,2.686890300988995,-0.45225,0.09,familiar-feeling-not-familiar,Singapore,Hans Zimmer,Pirates of the Caribbean: At World's End,2007.0,Action Adventure Fantasy,Gore Verbinski
jimcrowthehelpthomasnewmansample2mp3.mp3,0,2.718735912471551,0.0012100000000000166,-0.09385,never-heard-this,Jim Crow,Thomas Newman,The Help,2011.0,Drama,Tate Taylor
thebatmanmichaelgiacchinosample2mp3.mp3,0,2.7314894200545803,-0.13219,0.08687999999999999,familiar-feeling-not-familiar,The Batman,Michael Giacchino,The Batman,2022.0,Action Crime Drama,Matt Reeves
lasvisitasalbertoiglesiasparallelmotherssample2mp3.mp3,0,2.7824847071637038,0.28898,-0.5375,never-heard-this,Las visitas,Alberto Iglesias,Parallel Mothers,2021.0,Drama,Pedro Almodóvar
whatalifescarletpleasureanotherroundsample1mp3.mp3,0,2.7845654379647202,0.37766,0.05901,never-heard-this,What A Life,"Scarlet Pleasure, Alexander Lørup Malone, Emil Goll, Joachim Dencker",Another Round,2020.0,"Comedy, Drama",Thomas Vinterberg
whysoserioushanszimmerthedarkknightsample1mp3.mp3,0,2.7942450215453256,0.02225,0.0045,never-heard-this,Why so serious?,Hans Zimmer,The Dark Knight,2008.0,Action Crime Drama,Christopher Nolan
jupitersclaimmichaelabelsnopesample1mp3.mp3,0,2.813918304835261,0.81488,0.81481,familiar-feeling-not-familiar,Jupiter's Claim,Michael Abels,Nope,2022.0,Horror Mystery Sci-Fi,Jordan Peele
jupitersclaimmichaelabelsnopesample2mp3.mp3,0,2.843445526622522,0.4275,0.66625,not-sure,Jupiter's Claim,Michael Abels,Nope,2022.0,Horror Mystery Sci-Fi,Jordan Peele
beyondtheblackrainbowsinoiacavesforeverdilatingeyesample2mp3.mp3,0,2.8493281771995655,0.35898,0.0968,familiar-feeling-not-familiar,Forever Dialating Eye,Sinoia Caves,Beyond the Black Rainbow,2010.0,Horror Mystery Sci-Fi,Panos Cosmatos
7horsemethlabzosostickerthewolfofwallstreetsample2mp3.mp3,0,2.8830833229767063,0.56996,0.027499999999999997,familiar-feeling-not-familiar,Meth Lab Zoso Sticker,Joie Calio / Phil Leavitt / 7Horse,The Wolf Of Wall Street,2013.0,Biography Comedy Crime,Martin Scorsese
hanszimmertimeinceptionsample2mp3.mp3,0,2.9097241505517406,0.15475,-0.18519,familiar-feeling-not-familiar,Time,Hans Zimmer,Inception,2010.0,Action Adventure Sci-Fi,Christopher Nolan
thehungryghostaaroncupplesislandofthehungryghostssample2mp3.mp3,0,2.915481981404096,0.54236,-0.74476,never-heard-this,The Hungry Ghost,Aaron Cupples,Island of the Hungry Ghosts,2018.0,Documentary,Gabrielle Brady
drivemycartheimportantthingistoworkeikoishibashisample2mp3.mp3,0,2.968201297283506,0.51297,0.1193,not-sure,Drive My Car,Eiko Ishibashi,Drive my Car,2021.0,Drama,Ryûsuke Hamaguchi
almosthumanantoniosanchezbirdmansample2mp3.mp3,0,3.071656873473034,0.68445,0.27555,not-sure,Almost Human,Antonio Sánchez,Birdman,2014.0,Comedy Drama,Alejandro G. Iñárritu
parallelmotherssesiondefotosalbertoiglesiasmadresparalelassample1mp3.mp3,0,3.2127680963639684,0.23148000000000002,-0.246875,never-heard-this,Sesión de fotos,Alberto Iglesias,Parallel Mothers,2021.0,Drama,Pedro Almodóvar
parallelmotherssesiondefotosalbertoiglesiasmadresparalelassample2mp3.mp3,0,3.3000137900568216,0.63348,4e-05,never-heard-this,Sesión de fotos,Alberto Iglesias,Parallel Mothers,2021.0,Drama,Pedro Almodóvar
leonardbernsteinthedanceatthegymmambowestsidestoryleonardbersteindavidnewmanmattsullivanjeaninetesorisample1mp3.mp3,0,3.501406864747179,0.68848,0.80801,never-heard-this,The Dance At The Gym: Mambo,"Leonard Berstein, David Newman, Matt Sullivan, Jeanine Tesori",West Side Story,2021.0,Crime Drama Musical,Steven Spielberg
pawelmykietynthebeginningeosample1mp3.mp3,0,3.5265347351185943,0.0,0.14078,not-sure,The Beginning,Pawel Mykietyn,EO,2022.0,Drama,Jerzy Skolimowski
polegnalaetodoratheensembleofthebulgarianrepublicthebansheesofinisherinsample1mp3.mp3,0,3.650365725192864,0.15098,0.17551,familiar-feeling-not-familiar,Polegnala E Todora,The Ensemble of the Bulgarian Republic,The Banshees of Inisherin,2022.0,Comedy Drama,Martin McDonagh
detachhanszimmerinterstellarsample2mp3.mp3,0,3.711666121497214,0.36737,-0.62,never-heard-this,Detatch,Hans Zimmer,Interstellar,2014.0,Adventure Drama Sci-Fi,Christopher Nolan
creationmicaleviundertheskinsample1mp3.mp3,0,3.723822572926582,0.76648,-0.42445,familiar-feeling-not-familiar,Creation,Mica Levi,Under The Skin,2013.0,Drama Horror Mystery,Jonathan Glazer
sparksleoscaraxronmaelrusselmaelsomaywestartannettesample1mp3.mp3,0,3.8957434415080736,0.19052,-0.47250000000000003,never-heard-this,So May We Start,"Sparks, Leos Carax, Ron Mael, Russel Mael, Adam Driver, Marion Cotillard",Annette,2021.0,Drama Musical Romance,Leos Carax
huntingalexisgrapsasphilipkleinpigsample2mp3.mp3,0,3.9431831329713107,0.22352,0.20703,never-heard-this,Hunting,"Alexis Grapsas, Philip Klein",Pig,2021.0,Drama Mystery,Michael Sarnoski
whysoserioushanszimmerthedarkknightsample2mp3.mp3,0,4.162708641674729,0.26802,0.1675,never-heard-this,Why so serious?,Hans Zimmer,The Dark Knight,2008.0,Action Crime Drama,Christopher Nolan
huntingalexisgrapsasphilipkleinpigsample1mp3.mp3,0,4.175940978431772,0.1045,0.014,never-heard-this,Hunting,"Alexis Grapsas, Philip Klein",Pig,2021.0,Drama Mystery,Michael Sarnoski
caravandukeellingtonjuantizoljohnwassonwhiplashsample1mp3.mp3,0,5.175195137202085,0.398075,-0.50789,definitely-familiar,Caravan,John Wasson/ Duke Ellington/ Juan Tizol,Whiplash,2014.0,Drama Music,Damien Chazelle
souleimansthemefatimaalqadiriatlanticssample2mp3.mp3,0,6.148983279265287,0.178655,0.068885,never-heard-this,Souleiman's Theme,Fatima Al Qadiri,Atlantics,2019.0,Drama Fantasy Mystery,Mati Diop
albertoiglesiasclaquetafinalpainandglorysample1mp3.mp3,0,6.552619822916083,0.36199,0.7325,familiar-feeling-not-familiar,Claqueta final,Alberto Iglesias,Pain and Glory,2019.0,Drama,Pedro Almodóvar
instoristifandstrongethegreenknightdanielhartsample1mp3.mp3,0,15.425232582721451,0.66481,-0.73019,not-sure,In Stori Stif and Stronge,Daniel Hart,The Green Knight,2021.0,Adventure Drama Fantasy,David Lowery
societyeddievedderintothewildsample1mp3.mp3,1,1.1280430321731507,0.03094,0.1825,never-heard-this,Society,Eddie Vedder,Into the Wild,2007.0,Adventure Biography Drama,Sean Penn
ronmeetsfbiagentterenceblanchardblackkklansmansample1mp3.mp3,1,1.1609159801087456,0.0,0.0,never-heard-this,Ron Meets FBI Agent,Terence Blanchard,BlacKkKlansman,2018.0,Biography Crime Comedy,Spike Lee
itllallbeoverthesupremejubileesmoonlightsample1mp3.mp3,1,1.4231665927457318,0.27656,0.70525,never-heard-this,It'll All Be Over,The Supreme Jubilees,Moonlight,2016.0,Drama,Barry Jenkins
judasandtheblackmessiahtheinflatedtearthecartheclubmarkishamsample2mp3.mp3,1,1.4926675526279427,-0.5941700000000001,0.17437,never-heard-this,"The Inflated Tear - The Car, the Club",Mark Isham,Judas and the Black Messiah,2021.0,Biography Drama History,Shaka King
mildredgoestowarcarterburwellthreebillboardsoutsideebbingmissourisample1mp3.mp3,1,1.5320380563516431,0.55297,0.0643,never-heard-this,Mildred Goes To War,Carter Burwell,"Three Billboards Outside Ebbing, Missouri",2017.0,Comedy Crime Drama,Martin McDonagh
theirishmanrobbierobertsonthemefortheirishmansample2mp3.mp3,1,1.6599013155651563,0.09135,-0.7275,never-heard-this,Theme For The Irishman,Robbie Robertson,The Irishman,2019.0,Biography Crime Drama,Martin Scorsese
itllallbeoverthesupremejubileesmoonlightsample2mp3.mp3,1,1.6973098473972783,-0.74047,0.20492,familiar-feeling-not-familiar,It'll All Be Over,The Supreme Jubilees,Moonlight,2016.0,Drama,Barry Jenkins
nighthawkmateusalvestomazalvessouzabacurausample1mp3.mp3,1,1.7070208655510368,-0.053329999999999995,-0.38464,familiar,Nighthawk,"Mateus Alves, Tomaz Alves Souza",Bacurau,2019.0,Action Adventure Drama,"Juliano Dornelles , Kleber Mendonça Filho"
icouldshowyouifyoudlikehanszimmerrushsample1mp3.mp3,1,1.7214431160200492,0.32499999999999996,0.2275,never-heard-this,I Could Show You Off If You'd Like,Hans Zimmer,Rush,2013.0,Action Biography Drama,Ron Howard
upisdownhanszimmerpiratesofthecaribbeanatworldsendsample2mp3.mp3,1,1.7216373788043846,0.3625,0.02602,never-heard-this,Up Is Down,Hans Zimmer,Pirates of the Caribbean: At World's End,2007.0,Action Adventure Fantasy,Gore Verbinski
ladybirdjonbrionladybirdsample2mp3.mp3,1,1.7868904367246305,-0.36727,0.45039,familiar-feeling-not-familiar,Lady Bird,Jon Brion,Lady Bird,2017.0,Comedy Drama,Greta Gerwig
bladerunnerhanszimmerbenjaminwallfischbladerunner2049sample2mp3.mp3,1,1.8007903000987064,0.20974,-0.09047,never-heard-this,Blade Runner,"Benjamin Wallfisch, Hans Zimmer",Blade Runner 2049,2017.0,Action Drama Mystery,Denis Villeneuve
singaporehanszimmerpiratesofthecaribbeanatworldsendsample2mp3.mp3,1,1.8251104965726797,0.58949,0.29578,familiar-feeling-not-familiar,Singapore,Hans Zimmer,Pirates of the Caribbean: At World's End,2007.0,Action Adventure Fantasy,Gore Verbinski
nirvanasomethinginthewaythebatmansample1mp3.mp3,1,1.8260234548146383,0.04424,-0.0005,never-heard-this,Something In The Way,"Nirvana, Kurt Cobain",The Batman,2022.0,Action Crime Drama,Matt Reeves
nathanjohnsonthemefromglassonionglassonionsample2mp3.mp3,1,1.8690598493982957,0.45031,0.07731,familiar,Theme from Glass Onion,Nathan Johnson,Glass Onion: A Knives Out Mystery,2022.0,Comedy Crime Drama,Rian Johnson
kevinbeaknmichaelgiacchinoupsample2mp3.mp3,1,1.8763757126628988,0.29464,0.70188,familiar,Kevin Beak'n,Michael Giacchino,Up,2009.0,Animation Adventure Comedy,"Pete Docter, Bob Peterson"
vehicularjeffslaughterleobirenbergbottomssample2mp3.mp3,1,1.8993194805514382,0.46364500000000003,0.007550000000000001,never-heard-this,Vehicular Jeff-Slaughter,Leo Birenberg,Bottoms,2023.0,Comedy,Emma Seligman
theirishmanrobbierobertsonthemefortheirishmansample1mp3.mp3,1,1.9071018806976188,-0.35801,-0.37,familiar-feeling-not-familiar,Theme For The Irishman,Robbie Robertson,The Irishman,2019.0,Biography Crime Drama,Martin Scorsese
intothewildtimekeepermichaelbrooksample1mp3.mp3,1,1.942244490106863,0.410285,-0.08316000000000001,familiar-feeling-not-familiar,Timekeeper,Michael Brook,Into the Wild,2007.0,Adventure Biography Drama,Sean Penn
dickonhinchliffeoctopusthelostdaughtersample2mp3.mp3,1,1.9439378120169775,-0.38703,0.3418,familiar-feeling-not-familiar,Octopus,Dickon Hinchliffe,The Lost Daughter,2021.0,Drama,Maggie Gyllenhaal
tenetredroomblueroomludwiggoranssonsample1mp3.mp3,1,1.968055733899953,0.19199,-0.45921999999999996,never-heard-this,RED ROOM BLUE ROOM,Ludwig Göransson,Tenet,2020.0,Action Sci-Fi Thriller,Christopher Nolan
